UF;AreaTerritorial;Populacaoresidente;Densidadedemografica;Matriculasnoensinofundamental;IDH;Rendimentopercapito;Regiao
Distrito Federal;5760,783;2817381;489,06;361438;0,814;3357;CO
S�o Paulo;248219,485;44411238;178,92;5343271;0,806;2492;SD
Santa Catarina;95730,69;7610361;79,5;941272;0,792;2269;SU
Minas Gerais;586513,984;20539989;35,02;2343279;0,774;1918;SD
Esp�rito Santo;46074,448;3833712;83,21;498357;0,771;1915;SD
Rio Grande do Sul;281707,15;10882965;38,63;1255794;0,771;2304;SU
Paran�;199298,981;11444380;57,42;1365869;0,769;2115;SU
Rio de Janeiro;43750,425;16055174;366,97;1945098;0,762;2367;SD
Mato Grosso do Sul;357142,01;2757013;7,72;393616;0,742;2030;CO
Goi�s;340242,86;7056495;20,74;868222;0,737;2017;CO
Mato Grosso;903208,362;3658649;4,05;507089;0,736;1991;CO
Cear�;148894,447;8794957;59,07;1134636;0,734;1166;ND
Tocantins;277423,627;1511460;5,45;222404;0,731;1581;NO
Rio Grande do Norte;52809,599;3302729;62,54;437133;0,728;1373;NO
Pernambuco;98067,877;9058931;92,37;1229419;0,719;1113;ND
Acre;164173,525;830018;5,06;147350;0,71;1095;NO
Sergipe;21938,188;2210004;100,74;305930;0,702;1218;ND
Amazonas;1559256,365;3941613;2,53;692623;0,7;1172;NO
Rond�nia;237754,171;1581196;6,65;227246;0,7;1527;NO
Roraima;223644,534;636707;2,85;111096;0,699;1425;NO
Para�ba;56467,242;3974687;70,39;523996;0,698;1320;ND
Bahia;564760,429;14141626;25,04;1865574;0,691;1139;ND
Par�;1245870,242;8120131;6,52;1331723;0,69;1282;NO
Piau�;251755,481;3271199;12,99;439111;0,69;1342;ND
Amap�;142470,762;733759;5,15;131948;0,688;1520;NO
Alagoas;27830,661;3127683;112,38;439014;0,684;1110;ND
Maranh�o;329651,495;6776699;20,56;1045700;0,676;945;ND